Registration Number,Name,TT-2 Marks
2019132001,Benyamin,8
2019132002,Kalil,13
2019132003,Cilka,9
2019132004,Willard,11
2019132005,Rutger,18
2019132006,Ginger,9
2019132007,Julianna,9
2019132008,Stillman,12
2019132009,Odie,15
2019132010,Michail,12
2019132011,Nikolas,11
2019132012,Roana,10
2019132013,Farleigh,18
2019132014,Melva,14
2019132015,Broderick,9
2019132016,Anica,10
2019132017,Celie,12
2019132018,Angelika,12
2019132019,Phaedra,16
2019132020,Priscella,15
2019132021,Ingrid,16
2019132022,Almira,17
2019132023,Shana,17
2019132024,Lindsey,18
2019132025,Barbaraanne,17
2019132026,Tierney,13
2019132027,Latashia,19
2019132028,Bellanca,10
2019132029,Kerrill,14
2019132030,Ricardo,12
2019132031,Avery,9
2019132032,Alexandro,13
2019132033,Kahaleel,10
2019132034,Sutherlan,14
2019132035,Danice,12
2019132036,Kym,18
2019132037,Courtney,11
2019132038,Myrta,11
2019132039,Constantin,8
2019132040,Gilberto,11
2019132041,Catharine,17
2019132042,Domini,15
2019132043,Nickolai,13
2019132044,Caitlin,14
2019132045,Noah,9
2019132046,Tallou,18
2019132047,Roxie,20
2019132048,Christy,16
2019132049,Johnathan,16
2019132050,Ricki,17
